party,abbreviation
"Union des démocrates, radicaux et libéraux",UDRL
Archipel demain,AD
Calédonie Ensemble,CE
Cap sur l'avenir,REM
Debout la France,DLF
En marche !,REM
La République en Marche,REM
Europe Ecologie les Verts,EELV
Rassemblement National,RN
La France Insoumise,LFI
La France Insoumise,LFI
Les Républicains,LR
Mouvement Démocrate,MoDem
Mouvement Indépendantiste Martiniquais,MIM
Non déclaré(s),NI
Non rattaché,NI
Parti communiste français,PCF
Parti progressiste martiniquais,PGM
Parti radical de gauche,PRG
Parti socialiste,PS
Rassemblement LR - Rassemblement pour la Calédonie dans la République,LR
Régions et peuples solidaires,RPS
Tapura Huiraatira,TH
Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie,FLP
